0x022,"Poción\n
"
0x0B4,"Colgante\n
"
0x0B5,"Amuleto Suerte\n
"
0x0B6,"Collar de Oro\n
"
0x0B7,"Collar Mágico\n
"
0x0B8,"Collar Medusa\n
"
0x0B9,"Collar Corazón\n
"
0x0BA,"Collar Codicioso\n
"
0x0BB,"Broche Místico\n
"
0x0BC,"Cristal de Sypha\n
"
0x0BD,"Collar Espejo\n
"
0x0BE,"Anillo Suerte\n
"
0x0BF,"Anillo Sacro\n
"
0x0C0,"Anillo Raro\n
"
0x0C1,"Anillo Caos\n
"
0x0C2,"Anillo Nova\n
"
0x0C3,"Anillo Logos\n
"
0x0C4,"Anillo Celestial\n
"
0x0C5,"Anillo Aurora\n
"
0x0C6,"Anillo Tierra\n
"
0x0C7,"Libro de Fuego\n
"
0x0C8,"Libro de Hielo\n
"
0x0C9,"Libro de Trueno\n
"
0x0CA,"Libro de Viento\n
"
0x0CB,"Tomo Invocador\n
"
0x0CC,"Cola de Geco\n
"
0x0CD,"Pluma de Sílfide\n
"
0x0CE,"Ala de Grifo\n
"
0x0CF,"Orbe de Alma\n
"
0x0D0,"Diario de Hada\n
"
0x0D1,"Tomo Monstruos\n
"
0x0D2,"Ojo de Drácula\n
"
0x0D3,"Corazón Drácula\n
"
0x0D4,"Costilla Drácula\n
"
0x0D5,"Garra Drácula\n
"
0x0D6,"Diente Drácula\n
"
0x0D7,"Anillo Drácula\n
"
0x0D8,"Candelabro\n
"
0x0D9,"Reloj Alto\n
"
0x0DA,"Estantería\n
"
0x0DB,"Radio Vieja\n
"
0x0DC,"Platos dePlata\n
"
0x0DD,"Mesa Antigua\n
"
0x0DE,"Silla\n
"
0x0DF,"Mecedora\n
"
0x0E0,"Cortina de Seda\n
"
0x0E1,"Urna Antigua\n
"
0x0E2,"Urna del Mago\n
"
0x0E3,"Jarrón Bonito\n
"
0x0E4,"Mesa Lateral\n
"
0x0E5,"Taza\n
"
0x0E6,"Tetera\n
"
0x0E7,"Copa de Vino\n
"
0x0E8,"Estatua de Héroe\n
"
0x0E9,"Estatua Riendo\n
"
0x0EA,"Estatua Sabio\n
"
0x0EB,"Figura Mapache\n
"
0x0EC,"Gato Suerte\n
"
0x0ED,"Fonógrafo\n
"
0x0EE,"Ciervo Relleno\n
"
0x0EF,"Portavelas\n
"
0x0F0,"Candelero\n
"
0x0F1,"Adorno de Plata\n
"
0x0F2,"Adorno de Oro\n
"
0x0F3,"Espejo Extraño\n
"
0x0F4,"Pintura Castillo\n
"
0x0F5,"Cama Grande\n
"
0x0F6,"Armario\n
"
